1,9,8,10,7,24,23,15,17,13,20,2,21,18,0,25,22,5,3,0,19,6,4,12,14,
6,25,4,18,16,9,3,14,8,0,0,15,1,24,12,17,0,0,20,11,13,2,0,7,5,
0,12,23,15,2,18,6,4,25,10,0,9,3,8,0,1,14,19,24,7,16,0,11,0,17,
20,0,14,0,19,2,5,16,22,12,17,4,7,25,0,23,15,18,13,8,1,24,3,9,10,
0,17,22,24,13,21,1,11,0,20,16,19,14,5,10,12,2,9,6,4,0,8,15,18,25,
0,6,9,1,11,3,13,23,0,7,10,22,15,21,8,14,4,0,0,19,2,18,24,0,16,
0,20,21,0,4,14,2,24,15,11,13,18,0,17,9,16,1,22,10,23,8,25,6,3,12,
0,24,15,22,0,25,9,1,18,8,0,14,16,11,7,2,13,6,21,17,10,19,20,5,4,
10,14,19,8,18,5,16,0,0,17,2,25,4,3,20,24,11,7,12,9,15,13,0,1,22,
2,16,12,13,17,0,0,19,4,22,6,23,5,0,24,8,18,15,25,3,7,11,21,0,9,
8,0,0,25,21,23,12,0,0,0,14,17,2,0,16,10,0,0,22,6,18,4,13,0,24,
14,10,17,4,9,13,18,0,24,0,19,7,8,0,21,11,0,25,16,2,6,0,5,22,1,
22,18,5,12,24,6,14,9,11,16,3,0,10,4,23,0,19,17,15,21,20,7,2,25,8,
16,1,11,6,23,10,4,22,0,0,18,12,13,9,25,5,8,24,0,20,21,17,14,15,3,
13,3,2,20,15,8,7,17,21,25,24,11,22,6,0,4,12,14,18,1,0,10,16,19,23,
0,2,18,21,8,12,11,6,1,24,9,5,20,14,3,19,7,23,0,22,25,15,10,0,13,
17,0,13,14,1,0,22,20,0,4,25,21,12,0,2,6,3,0,9,24,5,0,18,8,19,
11,0,6,23,10,16,15,2,0,0,7,13,0,19,18,21,0,8,1,0,4,22,9,24,20,
19,22,24,0,12,17,25,13,9,0,8,6,0,0,0,20,5,4,14,18,3,1,7,21,2,
0,7,25,3,20,19,0,18,5,21,4,24,23,22,1,15,10,16,2,13,12,14,17,6,11,
15,4,3,9,14,1,20,10,23,18,21,16,0,13,19,22,0,12,11,25,17,0,8,2,7,
12,13,1,0,6,4,21,25,14,0,5,8,24,7,22,9,20,0,23,15,11,16,0,10,18,
18,11,20,0,25,22,24,8,0,6,15,10,9,2,17,7,0,1,0,0,14,0,0,23,21,
24,0,10,2,0,0,19,7,16,9,11,3,25,0,4,18,17,21,8,14,22,20,0,13,6,
21,8,0,7,22,11,17,12,2,5,1,20,18,23,14,3,6,13,0,10,24,9,25,4,15,
