6,13,10,9,11,7,14,16,1,4,5,2,8,15,3,12,
12,8,16,3,9,5,2,1,13,7,15,10,4,14,11,6,
15,7,4,5,3,6,8,12,11,14,16,9,1,13,10,2,
2,14,1,11,4,15,10,13,12,8,6,3,16,9,7,5,
5,12,8,14,10,9,1,4,3,11,13,7,6,2,15,16,
11,2,7,16,6,8,13,5,15,10,9,12,3,4,1,14,
1,10,13,4,16,2,3,15,6,5,14,8,11,12,9,7,
9,3,15,6,7,12,11,14,2,16,4,1,10,5,13,8,
8,1,5,15,2,10,4,6,16,9,3,13,14,7,12,11,
7,4,6,12,1,3,16,9,14,2,8,11,15,10,5,13,
3,9,11,13,12,14,5,7,10,15,1,6,2,8,16,4,
10,16,14,2,13,11,15,8,4,12,7,5,9,3,6,1,
16,11,9,1,8,13,7,10,5,3,2,14,12,6,4,15,
4,5,12,10,14,16,9,2,7,6,11,15,13,1,8,3,
14,6,3,7,15,1,12,11,8,13,10,4,5,16,2,9,
13,15,2,8,5,4,6,3,9,1,12,16,7,11,14,10,
