6,0,10,0,11,7,14,16,1,4,0,2,8,15,3,12,
12,8,16,3,9,5,0,1,13,0,15,10,4,14,0,6,
0,7,0,5,3,6,8,12,11,0,0,9,0,13,10,2,
2,14,1,0,4,0,10,13,12,8,6,3,16,9,7,5,
0,12,8,14,10,9,0,4,3,11,13,0,6,2,15,16,
11,2,7,0,6,8,13,5,15,10,9,12,3,0,1,14,
0,10,13,4,16,2,0,15,6,5,14,8,11,12,9,7,
0,3,15,0,7,12,11,0,0,16,4,1,10,0,0,8,
8,1,0,15,0,0,4,6,16,0,3,0,14,0,12,11,
7,4,6,0,0,3,16,0,14,2,8,0,15,10,5,13,
3,0,11,13,0,14,5,7,10,0,0,0,2,8,16,4,
0,0,14,2,0,11,15,8,4,0,0,0,9,0,6,1,
0,11,9,1,8,13,0,10,5,3,2,14,12,6,4,15,
4,0,12,0,14,0,9,2,7,6,11,15,0,0,8,3,
14,0,0,0,0,1,12,11,8,13,0,4,5,0,2,9,
13,15,2,8,5,4,6,0,9,0,12,16,7,0,14,10,
